Full_Info
"26 tỷ | Căn hộ The Metropole Thủ Thiêm hướng Tây Nam, diện tích 83m² | A02199217 • Đường R2, An Khánh, Quận 2, | 2 | 2 | 83 m²"
"GIẢM GIÁ | 54 tỷ | -4% | Căn hộ The Metropole Thủ Thiêm, diện tích 152m² | A02199218 • Đường R2, An Khánh, Quận 2, | 3 | 2 | 152 m²"
"82 tỷ | Căn hộ The Metropole Thủ Thiêm hướng Tây Bắc, diện tích 137m² | A02199222 • Đường R2, An Khánh, Quận 2, | 3 | 3 | 137 m²"
"77 tỷ | Căn hộ The Metropole Thủ Thiêm hướng Tây Bắc, diện tích 179m² | A02199223 • Đường R2, An Khánh, Quận 2, | 4 | 3 | 179 m²"
"88 tỷ | Căn hộ The Metropole Thủ Thiêm hướng Tây Nam, diện tích 179m² | A02199224 • Đường R2, An Khánh, Quận 2, | 4 | 3 | 179 m²"
"75 tỷ | Căn hộ The Metropole Thủ Thiêm hướng Tây Bắc, diện tích 236m² | A02199225 • Đường R2, An Khánh, Quận 2, | 4 | 3 | 236 m²"
"24.75 tỷ | Căn hộ The Metropole Thủ Thiêm hướng Tây Nam, diện tích 69m² | A02199226 • Đường R2, An Khánh, Quận 2, | 2 | 2 | 69 m²"
"29.5 tỷ | Căn hộ The Metropole Thủ Thiêm hướng Tây Nam, diện tích 70m² | A02199227 • Đường R2, An Khánh, Quận 2, | 2 | 2 | 70 m²"
"35 tỷ | Căn hộ Define 3PN 4WC sân vườn, diện tích 220 m² | A02199228 • Phan Văn Đáng, Thạnh Mỹ Lợi, | 3 | 4 | 220 m²"
"37 tỷ | Căn hộ Define 3PN 4WC Sân Vườn diện tích 220 m² | A02199229 • Phan Văn Đáng, Thạnh Mỹ Lợi, | 3 | 4 | 220 m²"
"40 tỷ | Căn hộ Define 3PN 4WC TẦNG 20 diện tích 220 m² | A02199230 • Phan Văn Đáng, Thạnh Mỹ Lợi, | 3 | 4 | 220 m²"
"42 tỷ | Căn hộ The Metropole Thủ Thiêm hướng Tây Nam, diện tích 83.6m² | A02199231 • Đường R2, An Khánh, Quận 2, | 2 | 2 | 83.6 m²"
"6.5 tỷ | Căn hộ Celesta Rise hướng Đông Bắc, diện tích 85 m² | ANB199235 • Nguyễn Hữu Thọ, Phước Kiển, | 2 | 2 | 85 m²"
"6.2 tỷ | Căn hộ Celesta Rise 2PN hướng Đông Nam, diện tích 80 m² | ANB199236 • Nguyễn Hữu Thọ, Phước Kiển, | 2 | 2 | 80 m²"
"6.1 tỷ | Căn hộ Celesta Rise 2PN NTCB, diện tích 85 m² | ANB199237 • Nguyễn Hữu Thọ, Phước Kiển, | 2 | 2 | 85 m²"
"4.2 tỷ | Căn hộ Celesta Rise 1 Phòng Ngủ Đầy Đủ Nội Thất | ANB199238 • Nguyễn Hữu Thọ, Phước Kiển, | 1 | 1 | 48 m²"
"43 tỷ | Căn hộ Empire City hướng Tây Nam, diện tích 127m² | A02199240 • Mai Chí Thọ, Thủ Thiêm, Quận 2, | 3 | 2 | 127 m²"
"60 tỷ | Căn hộ Empire City hướng Tây Nam, diện tích 183m² | A02199242 • Mai Chí Thọ, Thủ Thiêm, Quận 2, | 3 | 3 | 183 m²"
"40 tỷ | Căn hộ Empire City hướng Tây Bắc, diện tích 101m² | A02199243 • Mai Chí Thọ, Thủ Thiêm, Quận 2, | 2 | 2 | 101 m²"
